Acido fijo; Acido volatil;Acido citrico;azucar residual;Cloruros;Libre dioxido de azufre;dioxido de sulfuro total ;densidad;pH;sulfatos;alcohol;Calidad
81;12;49;12;42;43;160;9934;313;48;97;6
71;31;38;12;36;10;124;9924;314;44;99;6
72;15;38;12;38;18;110;9917;319;43;111;6
68;33;28;12;32;38;131;9889;319;41;13;6
8;2;36;12;32;21;78;9921;308;37;104;6
64;22;32;12;66;57;158;9992;36;43;9;6
79;33;26;12;44;23;103;9932;319;54;105;6
57;27;32;12;46;20;155;9934;38;41;102;6
65;32;23;12;54;39;208;99272;318;46;99;6
74;2;37;12;28;28;89;99132;314;61;118;6
69;31;32;12;24;20;166;99208;305;54;98;6
69;31;32;12;24;20;166;99208;305;54;98;6
77;3;34;12;48;4;119;99084;318;34;121;6
77;3;34;12;48;4;119;99084;318;34;121;6
8;14;33;12;45;71;162;9914;307;47;11;6
69;25;33;12;35;35;158;99082;302;58;113;6
63;18;36;12;34;26;111;99074;316;51;11;6
6;35;51;12;29;10;102;9903;346;42;119;6
68;21;42;12;45;24;126;99234;309;87;109;6
62;3;31;12;48;19;125;98999;332;54;126;6
58;15;32;12;37;14;119;99137;319;5;102;6
76;22;28;12;56;68;143;9983;299;3;92;6
76;22;28;12;56;68;143;9983;299;3;92;6
69;28;33;12;39;16;98;9904;307;39;117;6
63;21;31;12;43;30;117;99158;349;68;11;6
72;27;31;12;31;27;80;98892;303;33;127;6
72;24;3;12;37;11;95;98914;296;36;125;6
72;24;3;12;37;11;95;98914;296;36;125;6
67;22;39;12;49;26;152;99346;35;47;10;6
63;22;34;12;36;32;96;98961;306;74;116;6
54;255;33;12;51;29;122;99048;337;66;113;6
63;32;26;12;49;63;170;9961;314;55;99;6
8;27;33;12;5;41;103;99002;3;45;124;6
8;27;33;12;5;41;103;99002;3;45;124;6
55;21;25;12;4;18;75;99006;331;56;113;6
73;26;32;12;41;29;94;98978;307;45;12;6
53;33;3;12;48;25;119;99045;332;62;113;6
8;24;33;12;44;28;101;99035;303;43;125;6
6;19;29;12;46;29;92;99033;322;53;113;6
57;28;35;12;52;39;141;99108;344;69;113;6
67;27;69;12;176;36;106;99288;296;43;92;6
67;27;69;12;176;36;106;99288;296;43;92;6
71;21;33;12;39;34;97;99112;311;75;112;6
66;27;25;12;33;36;111;98918;316;37;124;6
62;21;24;12;51;31;95;99036;324;57;113;6
61;37;46;12;42;61;210;997;317;59;97;6
54;29;38;12;29;31;132;98895;328;36;124;6
54;29;38;12;29;31;132;98895;328;36;124;6
66;26;36;12;35;43;126;99094;301;63;114;6
61;15;4;12;3;19;84;98926;319;96;13;6
48;225;38;12;74;47;130;99132;331;4;103;6
55;16;31;12;26;31;68;9898;333;44;1165;6
5;27;4;12;76;42;124;99204;332;47;101;6
58;27;4;12;76;47;130;99185;313;45;103;6
67;22;33;12;36;36;86;99058;31;76;114;6
56;33;28;12;31;33;97;99126;349;58;109;6
74;22;26;12;35;18;97;99245;312;41;97;6
65;24;19;12;41;30;111;99254;299;46;94;6
81;22;43;15;44;28;129;9938;322;45;11;6
62;12;34;15;45;43;117;9939;342;51;9;6
71;3;46;15;66;29;133;9906;312;54;127;6
79;19;45;15;45;17;96;9917;313;39;11;6
58;24;39;15;54;37;158;9932;321;52;93;6
63;23;33;15;36;15;105;991;332;42;112;6
8;24;36;15;47;17;129;9948;32;54;10;6
6;18;27;15;89;40;143;9923;349;62;108;6
63;2;4;15;37;35;107;9917;346;5;114;6
63;2;4;15;37;35;107;9917;346;5;114;6
62;18;38;15;28;36;117;993;347;54;97;6
6;16;37;15;25;43;117;9928;346;51;97;6
63;26;49;15;52;34;134;9924;299;61;98;6
63;26;49;15;52;34;134;9924;299;61;98;6
83;14;45;15;39;18;98;99215;302;56;11;6
6;41;5;15;63;17;120;9932;321;56;92;6
6;19;71;15;152;9;55;9927;312;46;98;6
83;14;26;15;49;56;189;9946;321;62;95;6
69;2;36;15;31;38;147;9931;335;56;11;6
68;18;37;15;27;37;93;992;33;45;108;6
5;33;16;15;49;10;97;9917;348;44;107;6
5;33;16;15;49;10;97;9917;348;44;107;6
8;23;46;15;3;30;125;9907;323;47;125;6
5;33;16;15;49;10;97;9917;348;44;107;6
73;19;68;15;5;31;156;9946;332;64;94;6
62;22;27;15;64;20;132;9938;322;46;92;6
84;16;33;15;33;16;98;994;314;42;97;6
76;19;42;15;44;6;114;9914;304;74;128;6
68;26;33;15;47;44;167;9928;312;44;105;6
74;28;49;15;34;20;126;9918;298;39;106;6
85;15;49;15;31;17;122;9932;303;4;103;6
85;15;49;15;31;17;122;9932;303;4;103;6
7;27;74;15;36;27;122;9926;335;48;112;6
66;25;31;15;35;32;127;9921;341;47;113;6
64;24;22;15;38;38;157;9934;341;55;99;6
68;27;32;15;44;19;142;9921;31;43;99;6
61;17;27;15;56;45;135;9924;32;43;102;6
87;45;4;15;67;17;100;9957;327;57;101;6
66;36;21;15;49;39;184;9928;318;41;99;6
56;18;31;15;38;16;84;9924;334;58;101;6
83;17;31;15;49;48;153;9942;312;58;94;6
7;32;35;15;39;24;125;9918;317;64;122;6
7;32;35;15;39;24;125;9918;317;64;122;6
64;17;34;15;93;43;136;9938;325;49;96;6
73;22;26;15;4;32;172;99194;327;48;112;6
73;22;26;15;4;32;172;99194;327;48;112;6
66;26;27;15;4;19;114;99295;336;62;105;6
73;16;35;15;36;29;108;99342;327;51;102;6
64;16;37;15;37;27;109;99345;338;5;98;6
72;3;26;15;41;46;178;99154;319;56;113;6
65;17;31;15;41;34;121;99092;306;46;105;6
65;17;31;15;41;34;121;99092;306;46;105;6
63;37;37;15;24;12;76;98876;294;39;123;6
61;21;38;15;39;37;122;98972;32;43;12;6
63;32;32;15;37;12;76;98993;33;46;123;6
58;58;0;15;2;33;96;98918;329;38;124;6
59;2;23;15;37;38;93;99021;336;49;12;6
59;2;23;15;37;38;93;99021;336;49;12;6
72;25;32;15;54;24;105;99154;317;48;111;6
61;28;26;15;3;25;101;98894;303;41;121;6
72;23;39;15;53;26;106;99166;318;47;111;6
68;37;67;15;175;16;98;99244;306;56;103;6
68;14;35;15;47;40;117;99111;307;72;111;6
68;14;35;15;47;40;117;99111;307;72;111;6
59;25;27;15;29;37;81;9892;32;46;122;6
57;25;21;15;44;21;108;99142;33;59;11;6
58;23;21;15;44;21;110;99138;33;57;11;6
75;21;29;15;46;35;107;99123;315;45;113;6
66;23;32;15;41;8;72;98949;322;39;127;6
62;2;25;15;55;8;120;99767;319;53;96;6
62;2;25;15;55;8;120;99767;319;53;96;6
58;3;23;15;34;37;121;98871;296;34;121;6
58;22;25;15;24;21;109;99234;337;58;104;6
65;2;33;15;39;36;110;99008;322;65;12;6
64;24;27;15;4;35;105;98914;313;3;124;6
55;16;26;15;32;35;100;99076;343;77;12;6
68;23;48;15;36;35;165;99162;318;45;113;6
66;24;27;14;57;33;152;9934;322;56;95;6
67;23;26;14;6;33;154;9934;324;56;95;6
72;24;27;14;38;31;122;9927;315;46;103;6
68;22;31;14;53;34;114;9929;339;77;106;6
56;16;27;14;44;53;168;9918;328;37;101;6
74;24;42;14;66;48;198;9979;289;42;89;6
74;24;42;14;66;48;198;9979;289;42;89;6
74;24;42;14;66;48;198;9979;289;42;89;6
69;27;4;14;5;64;227;9979;318;58;96;6
10;2;39;14;5;19;152;994;3;42;104;6
65;41;24;14;48;24;113;9982;344;53;98;6
65;41;24;14;48;24;113;9982;344;53;98;6
64;41;24;14;48;24;113;9982;344;53;98;6
74;36;33;14;25;27;55;9915;321;33;112;6
64;16;22;14;4;41;149;9933;349;58;10;6
67;3;35;14;18;36;160;9937;311;54;94;6
72;24;4;14;45;31;106;9914;288;38;108;6
67;2;42;14;38;83;160;9987;316;5;94;6
62;16;54;14;126;37;110;9932;323;37;89;6
66;26;29;14;39;13;67;9915;305;49;109;6
7;24;34;14;31;27;107;99;306;39;119;6
65;17;33;14;28;14;99;9928;323;55;101;6
76;16;44;14;43;25;109;9932;311;75;103;6
76;16;44;14;43;25;109;9932;311;75;103;6
71;18;42;14;45;47;157;9916;295;31;105;6
74;23;43;14;44;22;113;9938;322;62;106;6
73;18;65;14;46;28;157;9946;333;62;94;6
73;18;65;14;46;28;157;9946;333;62;94;6
62;16;47;14;29;23;81;99;326;42;122;6
62;27;49;14;5;20;74;9931;332;44;98;6
63;24;74;14;172;24;108;9932;327;39;99;6
77;12;32;14;6;47;150;9952;337;42;92;6
65;18;26;14;41;40;141;9941;334;72;95;6
65;18;26;14;41;40;141;9941;334;72;95;6
78;22;36;14;56;21;153;993;32;53;104;6
8;25;26;14;43;41;248;9986;303;57;87;6
63;2;58;14;204;15;97;9931;316;43;10;6
63;22;57;14;208;14;96;9932;316;43;10;6
76;2;31;14;47;41;142;9934;343;53;101;6
65;25;2;14;24;29;101;9916;324;54;108;6
57;32;18;14;29;26;104;9906;344;37;11;6
69;21;33;14;56;35;136;9938;363;78;103;6
74;17;29;14;47;23;107;9939;352;65;104;6
72;39;54;14;157;34;132;99449;311;53;9;6
72;39;54;14;157;34;132;99449;311;53;9;6
75;42;2;14;6;15;168;9944;306;4;94;6
61;16;24;14;46;17;77;99319;366;57;103;6
68;29;49;14;142;52;148;9937;308;49;9;6
72;22;24;14;41;17;159;99196;325;53;112;6
66;41;16;14;37;28;160;99167;295;45;106;6
64;22;34;14;23;56;115;98958;318;7;117;6
64;22;34;14;23;56;115;98958;318;7;117;6
59;445;26;14;27;23;109;99148;33;36;105;6
68;17;36;14;36;38;108;99006;319;66;12;6
62;15;27;14;41;51;117;9909;328;38;112;6
61;68;52;14;37;32;123;99022;324;45;12;6
7;29;35;14;36;42;109;99119;331;62;116;6
59;24;12;14;35;60;247;99358;334;44;96;6
74;16;32;14;65;23;140;99134;306;47;114;6
67;21;34;14;49;36;112;99091;302;5;11;6
6;29;25;14;33;30;114;98794;308;43;132;6
6;29;25;14;33;30;114;98794;308;43;132;6
78;2;2;14;36;25;83;99088;303;46;117;6
68;14;18;14;47;30;90;99164;327;54;112;6
68;14;18;14;47;30;90;99164;327;54;112;6
66;85;33;14;36;17;109;99306;327;61;95;6
56;26;18;14;34;18;135;99174;332;35;102;6
71;39;79;14;194;23;90;99212;317;46;105;6
6;19;26;14;39;30;104;98998;332;41;124;6
66;36;47;14;145;26;124;99274;309;56;101;6
58;2;16;14;42;44;99;98912;323;37;122;6
59;29;32;14;22;17;47;9899;335;35;115;6
57;33;32;14;43;28;93;9897;331;5;123;6
53;6;34;14;31;3;60;98854;327;38;13;6
81;28;4;69;5;30;97;9951;326;44;101;6
81;28;4;69;5;30;97;9951;326;44;101;6
62;32;16;7;45;30;136;9949;318;47;96;6
63;48;4;11;46;30;99;9928;324;36;96;6
74;34;42;11;33;17;171;9917;312;53;113;6
66;27;41;13;52;16;142;9951;342;47;10;6
69;24;35;1;52;35;146;993;345;44;10;6
7;28;39;87;51;32;141;9961;338;53;105;6
74;27;48;11;47;17;132;9914;319;49;116;6
85;24;39;104;44;20;142;9974;32;53;10;6
67;23;39;25;172;63;158;9937;311;36;94;6
67;24;39;29;173;63;157;9937;31;34;94;6
64;18;35;1;45;39;108;9911;331;35;109;6
68;2;59;9;147;38;132;993;305;38;91;6
69;25;35;13;39;29;191;9908;313;52;11;6
66;38;15;46;44;25;78;9931;311;38;102;6
68;22;24;49;92;30;123;9951;303;46;86;6
66;38;15;46;44;25;78;9931;311;38;102;6
62;27;43;78;56;48;244;9956;31;51;9;6
86;23;46;1;54;9;72;9941;295;49;91;6
71;44;62;118;44;52;152;9975;312;46;87;6
72;39;63;11;44;55;156;9974;309;44;87;6
71;44;62;118;44;52;152;9975;312;46;87;6
72;39;63;11;44;55;156;9974;309;44;87;6
6;34;66;159;46;26;164;9979;314;5;88;6
6;34;66;159;46;26;164;9979;314;5;88;6
71;23;35;165;4;60;171;999;316;59;91;6
71;23;35;165;4;60;171;999;316;59;91;6
65;17;54;85;82;64;163;9959;289;39;88;6
6;31;24;33;41;25;143;9914;331;44;113;6
7;14;4;17;35;16;85;9911;319;42;118;6
64;13;47;16;92;40;158;9928;321;36;98;6
61;3;56;27;46;46;184;9924;331;57;109;6
81;28;39;19;29;18;79;9923;323;52;118;6
85;21;41;43;36;24;99;9947;318;53;97;6
81;2;4;2;37;19;87;9921;312;54;112;6
63;255;37;11;4;37;114;9905;3;39;109;6
76;18;46;102;55;58;135;9968;314;43;99;6
82;23;4;75;49;12;76;9966;306;84;97;6
84;27;46;87;48;39;197;9974;314;59;96;6
69;23;4;75;4;50;151;9927;311;27;114;6
67;24;41;94;4;49;166;9954;312;61;99;6
64;3;45;35;197;76;180;9942;302;39;91;6
72;685;21;95;7;33;172;9971;3;55;91;6
63;495;22;18;46;31;140;9929;339;54;104;6
83;28;4;78;41;38;194;9976;334;51;96;6
82;27;39;78;39;49;208;9976;331;51;95;6
72;23;38;143;58;55;194;9979;309;44;9;6
72;23;38;143;58;55;194;9979;309;44;9;6
72;23;38;143;58;55;194;9979;309;44;9;6
72;23;38;143;58;55;194;9979;309;44;9;6
62;25;21;1555;39;28;159;9982;348;64;96;6
64;23;39;18;32;23;118;9912;332;5;118;6
69;115;35;54;48;36;108;9939;332;42;102;6
72;29;4;136;45;66;231;9977;308;59;96;6
53;585;7;71;44;34;145;9945;334;57;97;6
54;59;7;7;45;36;147;9944;334;57;97;6
66;19;41;89;46;51;169;9954;314;57;98;6
67;2;41;91;44;50;166;9954;314;58;98;6
75;17;44;113;46;65;146;997;317;45;10;6
67;17;5;21;43;27;122;9923;315;45;103;6
61;41;0;16;63;36;87;9914;327;67;108;6
83;2;35;9;5;12;74;992;313;38;105;6
61;41;0;16;63;36;87;9914;327;67;108;6
6;29;21;13;55;42;168;9914;332;43;111;6
73;41;24;68;57;41;163;9949;32;41;99;6
73;41;24;68;57;41;163;9949;32;41;99;6
73;4;24;67;58;41;166;995;32;41;99;6
78;25;41;37;42;37;149;9954;336;45;10;6
57;36;21;67;38;51;166;9941;329;63;10;6
68;28;6;11;132;42;127;9934;309;44;91;6
61;125;25;33;4;10;69;9934;354;59;101;6
68;28;44;93;31;35;137;9946;316;36;104;6
79;26;41;1515;4;38;216;9976;296;6;10;6
64;34;23;63;39;37;143;9944;319;65;10;6
65;28;35;154;42;55;195;9978;323;5;96;6
64;26;42;97;44;30;140;9962;318;47;91;6
54;29;47;3;52;47;145;993;329;75;10;6
67;19;41;156;56;75;155;9995;32;44;88;6
78;18;46;136;52;38;118;998;315;5;10;6
58;4;42;44;47;385;245;9937;325;57;96;6
73;22;37;143;63;48;191;9978;289;38;9;6
73;22;37;143;63;48;191;9978;289;38;9;6
73;22;37;143;63;48;191;9978;289;38;9;6
69;33;21;1;53;39;148;9927;312;45;94;6
77;29;48;23;49;36;178;9931;317;64;106;6
69;33;21;1;53;39;148;9927;312;45;94;6
77;29;48;23;49;36;178;9931;317;64;106;6
57;32;5;26;49;17;155;9927;322;64;10;6
61;55;15;98;31;19;125;9957;336;47;102;6
73;24;43;2;21;20;69;99;308;56;122;6
64;19;42;29;32;32;83;9908;33;41;117;6
72;25;39;1895;38;42;155;9999;297;47;9;6
72;25;39;1895;38;42;155;9999;297;47;9;6
61;38;2;66;33;25;137;9938;33;69;104;6
66;52;44;122;48;54;245;9975;326;54;93;6
68;32;21;22;44;15;68;9932;317;39;94;6
68;32;21;22;44;15;68;9932;317;39;94;6
86;37;7;1215;39;21;158;9983;3;73;93;6
55;16;22;45;3;30;102;9938;324;36;94;6
71;55;13;17;73;21;165;994;297;58;92;6
59;36;41;13;47;45;104;9917;333;51;106;6
68;2;38;47;4;27;103;994;337;58;107;6
57;44;13;7;25;28;173;9913;333;48;125;6
72;28;54;167;45;54;200;999;308;49;95;6
68;19;58;142;38;51;164;9975;312;48;96;6
67;27;12;13;41;62;138;9921;321;42;10;6
78;34;35;18;42;8;167;9908;311;41;121;6
74;15;42;17;45;49;154;992;3;6;104;6
69;25;4;13;38;22;101;9901;303;39;114;6
59;32;39;33;114;24;140;9934;309;45;92;6
61;28;22;18;34;32;116;9898;336;44;126;6
52;36;2;16;31;24;104;9896;344;35;122;6
56;19;47;45;3;19;112;9922;356;45;112;6
64;1;35;49;48;31;103;9947;343;79;97;6
68;25;24;455;53;41;211;9955;337;67;95;6
55;35;35;11;45;14;167;992;334;68;99;6
67;24;41;87;36;29;148;9952;322;62;99;6
68;28;17;139;47;49;162;9983;321;51;9;6
63;26;24;72;39;38;172;9958;349;64;97;6
77;22;42;19;52;10;87;9922;33;49;118;6
61;41;24;16;49;16;137;993;332;5;104;6
72;34;44;42;47;51;144;991;301;76;123;6
78;22;38;103;59;28;99;9967;312;47;10;6
61;26;51;22;5;61;154;9929;308;6;98;6
73;3;22;64;56;44;168;9947;313;35;101;6
74;24;22;107;42;26;81;9954;286;36;97;6
74;24;22;107;42;26;81;9954;286;36;97;6
7;29;37;49;34;26;127;9928;317;44;108;6
74;37;35;57;61;12;94;9965;348;69;107;6
74;24;4;43;32;9;95;992;309;39;111;6
53;32;12;66;43;22;141;9937;336;6;104;6
7;32;24;62;48;31;228;9957;323;62;94;6
7;32;24;62;48;31;228;9957;323;62;94;6
59;14;25;45;27;34;140;9934;349;51;108;6
77;27;35;53;3;30;117;992;311;42;122;6
9;27;35;49;28;27;95;9932;304;4;113;6
71;17;38;74;52;49;182;9958;335;52;96;6
68;22;37;17;36;38;195;9908;335;72;125;6
71;17;38;74;52;49;182;9958;335;52;96;6
61;14;25;13;47;37;173;9925;335;46;10;6
61;28;25;69;56;44;201;9955;319;4;91;6
59;25;25;113;52;30;165;997;324;44;95;6
61;36;16;64;37;36;198;9944;317;62;99;6
76;29;58;175;41;51;225;9997;316;66;95;6
72;18;45;44;46;57;166;9943;313;62;112;6
77;2;44;139;5;44;130;99855;311;48;10;6
82;27;43;16;35;31;128;9916;31;5;123;6
82;27;43;16;35;31;128;9916;31;5;123;6
62;25;48;10;44;78;240;99655;325;47;95;6
7;2;37;2;3;26;136;9932;328;61;102;6
74;2;166;21;22;34;113;99165;326;55;122;6
72;29;4;76;24;56;177;9928;304;32;115;6
69;18;38;81;49;44;176;9958;33;54;98;6
73;3;42;735;25;51;175;9928;304;32;114;6
72;29;4;76;24;56;177;9928;304;32;115;6
69;2;5;10;36;78;167;9964;315;55;102;6
68;22;37;152;51;68;178;99935;34;85;93;6
69;18;38;81;49;44;176;9958;33;54;98;6
7;2;38;81;5;42;173;99585;33;54;98;6
5;44;4;186;39;38;128;9985;337;57;102;6
72;27;42;16;5;35;135;992;294;46;11;6
64;225;48;22;115;29;104;9918;324;58;121;6
78;29;22;95;56;44;213;99715;308;61;93;6
78;42;23;88;54;42;215;9971;302;58;92;6
54;18;24;48;41;30;113;99445;342;4;94;6
78;27;58;112;36;44;161;9977;306;41;89;6
78;27;58;112;36;44;161;9977;306;41;89;6
79;35;24;156;72;44;229;99785;303;59;105;6
73;655;2;102;71;28;212;9971;296;58;92;6
67;19;23;62;47;36;117;9945;334;43;96;6
7;21;37;72;42;36;167;9958;326;56;98;6
68;25;38;81;46;24;155;9956;333;59;102;6
6;2;24;18;3;30;105;9909;331;47;115;6
48;34;0;65;28;33;163;9939;336;61;99;6
63;26;21;4;3;24;125;9915;306;34;107;6
88;36;44;19;4;9;121;9953;319;48;99;6
74;26;43;6;22;22;125;9928;313;55;115;6
74;26;43;6;22;22;125;9928;313;55;115;6
5;31;0;64;46;43;166;994;33;63;99;6
56;19;39;11;43;17;67;9918;323;53;103;6
77;32;62;106;36;56;153;9978;313;44;89;6
77;32;62;106;36;56;153;9978;313;44;89;6
63;27;46;1175;37;61;212;9971;325;53;95;6
61;19;25;4;23;23;112;9923;337;51;116;6
59;26;21;125;34;36;152;9972;328;43;95;6
68;22;35;175;39;38;153;9994;324;42;9;6
68;22;35;175;39;38;153;9994;324;42;9;6
71;13;38;18;46;14;114;9925;332;9;117;6
51;39;21;17;27;15;72;9894;35;45;125;6
6;41;21;19;5;29;122;9928;342;52;105;6
86;16;38;34;4;41;143;9932;295;39;102;6
64;28;43;71;45;60;221;9952;309;45;94;6
83;15;39;13;55;32;146;993;308;39;105;6
83;16;48;17;57;31;98;9943;315;41;103;6
76;19;38;106;6;48;174;9962;313;38;105;6
68;34;74;28;88;23;185;9928;351;7;12;6
62;15;46;16;39;38;123;993;338;51;97;6
66;14;44;16;42;47;140;993;332;51;102;6
71;2;41;21;54;24;166;9948;348;62;105;6
88;17;38;18;4;39;148;9942;316;67;102;6
69;21;81;11;137;52;123;9932;303;39;92;6
81;26;37;19;72;48;159;9949;337;7;109;6
64;3;51;55;48;62;172;9942;308;45;91;6
63;27;25;58;38;52;155;995;328;38;94;6
63;27;25;58;38;52;155;995;328;38;94;6
74;2;37;1695;48;43;190;9995;303;42;92;6
74;2;37;1695;48;43;190;9995;303;42;92;6
72;21;35;145;48;35;178;9982;305;47;89;6
65;29;25;106;39;32;120;9962;331;34;101;6
63;27;25;58;38;52;155;995;328;38;94;6
63;17;42;28;28;45;107;9908;327;43;118;6
8;18;37;13;4;15;96;9912;306;61;121;6
63;55;45;13;47;33;182;9974;32;46;92;6
7;17;37;57;25;29;111;9938;32;49;108;6
53;395;7;13;35;26;102;992;35;35;106;6
77;25;43;45;62;20;115;9966;338;5;99;6
76;21;44;19;36;10;119;9913;301;7;128;6
75;42;45;91;29;20;125;996;312;36;101;6
76;21;44;19;36;10;119;9913;301;7;128;6
62;37;22;83;25;36;216;9964;333;6;96;6
79;22;45;142;38;53;141;9992;303;46;92;6
7;26;46;1555;37;61;171;9986;294;35;88;6
63;21;4;17;31;48;134;9917;342;49;115;6
92;28;41;1;42;14;59;9922;296;25;105;6
68;32;37;34;23;19;87;9902;314;53;127;6
68;32;37;34;23;19;87;9902;314;53;127;6
69;29;16;68;34;65;212;9955;308;39;9;6
62;21;38;68;36;64;245;9951;306;36;93;6
96;29;46;145;39;775;223;9944;292;46;95;6
84;35;56;138;48;55;190;9993;307;58;94;6
84;35;56;138;48;55;190;9993;307;58;94;6
78;16;41;17;26;29;140;991;302;78;125;6
78;16;41;17;26;29;140;991;302;78;125;6
73;34;39;52;4;45;163;9925;33;47;124;6
9;245;38;59;45;52;159;995;293;35;102;6
74;19;42;64;67;39;212;9958;33;33;96;6
92;15;68;16;46;22;130;9948;302;45;104;6
94;17;55;16;49;14;94;9949;302;61;103;6
52;365;8;135;41;37;142;997;346;39;99;6
63;23;22;375;39;37;116;9927;323;5;107;6
64;31;4;62;4;46;169;9953;315;46;93;6
73;43;37;46;28;17;114;991;323;43;132;6
69;16;35;13;43;21;182;9927;325;62;108;6
65;22;72;68;42;33;168;9958;312;36;92;6
57;21;24;23;47;60;189;995;365;72;101;6
57;21;24;23;47;60;189;995;365;72;101;6
73;22;41;154;5;55;191;1;332;59;89;6
63;29;4;65;39;43;167;9953;315;44;93;6
7;14;41;9;37;22;95;9914;325;43;109;6
73;22;41;154;5;55;191;1;332;59;89;6
76;28;39;19;52;23;116;9941;325;4;104;6
107;22;56;82;44;37;181;998;287;68;95;6
107;22;56;82;44;37;181;998;287;68;95;6
69;27;41;17;47;6;134;9929;315;69;114;6
69;28;41;17;5;10;136;993;316;71;114;6
69;46;2;9;54;5;126;992;31;42;104;6
66;56;16;31;45;28;92;994;312;35;91;6
71;36;56;13;46;25;102;9923;324;33;105;6
68;23;4;16;47;5;133;993;323;7;114;6
81;19;4;9;37;73;180;9926;306;34;10;6
63;67;48;126;52;57;222;9979;317;52;93;6
83;2;74;445;44;33;130;9924;325;42;122;6
83;2;74;445;44;33;130;9924;325;42;122;6
71;22;74;27;44;42;144;991;331;41;122;6
85;17;74;36;5;29;128;9928;328;4;124;6
79;22;24;46;44;39;159;9927;299;28;115;6
66;25;24;17;48;26;124;9942;337;6;101;6
65;26;74;133;44;68;224;9972;318;54;95;6
67;51;24;21;43;14;155;9904;322;6;13;6
78;26;74;75;44;59;160;996;322;64;10;6
88;23;74;32;42;15;126;9934;302;51;112;6
71;18;74;156;44;44;176;9996;338;67;9;6
71;18;74;156;44;44;176;9996;338;67;9;6
71;36;24;18;25;32;102;9903;334;59;128;6
78;3;74;18;33;33;156;991;329;52;128;6
78;3;74;18;33;33;156;991;329;52;128;6
68;17;74;24;53;61;182;9953;363;76;105;6
64;25;74;78;45;52;209;9956;321;42;92;6
64;25;74;78;45;52;209;9956;321;42;92;6
78;15;24;77;47;21;98;9951;294;31;96;6
75;14;74;16;35;21;126;9933;326;45;102;6
64;42;74;128;76;48;209;9978;312;58;9;6
78;24;18;67;46;33;160;9963;32;56;98;6
73;23;37;18;32;60;156;992;311;35;111;6
62;3;2;66;45;42;170;9944;336;45;104;6
71;16;25;13;34;28;123;9915;327;55;114;6
79;18;37;3;61;25;178;995;322;51;10;6
75;4;1;195;41;33;148;9977;324;38;12;6
69;17;22;46;64;55;152;9952;329;37;93;6
76;445;44;145;45;68;212;9986;348;36;10;6
87;34;46;138;55;68;198;9988;336;37;95;6
66;37;47;65;61;23;150;9954;314;45;96;6
77;38;4;2;38;28;152;9906;318;32;129;6
63;25;23;149;39;47;142;99705;314;35;97;6
61;255;44;123;45;53;197;9967;324;54;95;6
63;25;23;149;39;47;142;99705;314;35;97;6
64;28;19;54;42;67;181;99435;331;35;102;6
77;49;1;196;3;28;135;9973;324;4;12;6
67;37;41;63;61;22;149;9953;316;47;96;6
64;26;21;71;4;35;162;9956;339;58;99;6
76;3;22;102;49;57;191;9966;308;4;93;6
64;26;21;71;4;35;162;9956;339;58;99;6
76;3;22;102;49;57;191;9966;308;4;93;6
56;46;24;48;42;24;72;9908;329;37;126;6
68;3;35;28;38;10;164;9912;309;53;12;6
68;3;35;28;38;10;164;9912;309;53;12;6
73;19;24;63;54;34;231;9964;336;54;10;6
73;19;24;63;54;34;231;9964;336;54;10;6
